unit,floor,type,beds,rent,status
101,1,Studio,0,500,Vacant
102,1,3 Bed,3,1000,Vacant
103,1,3 Bed,3,1000,Vacant
104,1,4 Bed,4,1300,Vacant
105,1,4 Bed,4,1300,Vacant
106,1,4 Bed,4,1300,Vacant
201,2,Studio,0,500,Vacant
202,2,3 Bed,3,1000,Vacant
203,2,3 Bed,3,1000,Vacant
204,2,4 Bed,4,1300,Vacant
205,2,4 Bed,4,1300,Vacant
206,2,4 Bed,4,1300,Vacant
301,3,Studio,0,500,Vacant
302,3,3 Bed,3,1000,Vacant
303,3,3 Bed,3,1000,Vacant
304,3,4 Bed,4,1300,Vacant
305,3,4 Bed,4,1300,Vacant
306,3,4 Bed,4,1300,Vacant
401,4,Studio,0,500,Vacant
402,4,3 Bed,3,1000,Vacant
403,4,3 Bed,3,1000,Vacant
404,4,4 Bed,4,1300,Vacant
405,4,4 Bed,4,1300,Vacant
406,4,4 Bed,4,1300,Vacant
501,5,Studio,0,500,Vacant
502,5,3 Bed,3,1000,Vacant
503,5,3 Bed,3,1000,Vacant
504,5,4 Bed,4,1300,Vacant
505,5,4 Bed,4,1300,Vacant
506,5,4 Bed,4,1300,Vacant
601,6,Studio,0,500,Vacant
602,6,3 Bed,3,1000,Vacant
603,6,3 Bed,3,1000,Vacant
604,6,4 Bed,4,1300,Vacant
605,6,4 Bed,4,1300,Vacant
606,6,4 Bed,4,1300,Vacant
701,7,Studio,0,500,Vacant
702,7,3 Bed,3,1000,Vacant
703,7,3 Bed,3,1000,Vacant
704,7,4 Bed,4,1300,Vacant
705,7,4 Bed,4,1300,Vacant
706,7,4 Bed,4,1300,Vacant
801,8,Studio,0,500,Vacant
802,8,3 Bed,3,1000,Vacant
803,8,3 Bed,3,1000,Vacant
804,8,4 Bed,4,1300,Vacant
805,8,4 Bed,4,1300,Vacant
806,8,4 Bed,4,1300,Vacant
901,9,Studio,0,500,Vacant
902,9,3 Bed,3,1000,Vacant
903,9,3 Bed,3,1000,Vacant
904,9,4 Bed,4,1300,Vacant
905,9,4 Bed,4,1300,Vacant
906,9,4 Bed,4,1300,Vacant
1001,10,Studio,0,500,Vacant
1002,10,3 Bed,3,1000,Vacant
1003,10,3 Bed,3,1000,Vacant
1004,10,4 Bed,4,1300,Vacant
1005,10,4 Bed,4,1300,Vacant
1006,10,4 Bed,4,1300,Vacant
1101,11,Studio,0,500,Vacant
1102,11,3 Bed,3,1000,Vacant
1103,11,3 Bed,3,1000,Vacant
1104,11,4 Bed,4,1300,Vacant
1105,11,4 Bed,4,1300,Vacant
1106,11,4 Bed,4,1300,Vacant
