unit,floor,type,beds,rent,status
1,1,Studio,0,500,Vacant
2,1,2 Bed,2,1000,Vacant
3,1,2 Bed,2,1000,Vacant
4,1,3 Bed,3,1300,Vacant
5,1,3 Bed,3,1300,Vacant
6,1,3 Bed,3,1300,Vacant
7,2,Studio,0,500,Vacant
8,2,2 Bed,2,1000,Vacant
9,2,2 Bed,2,1000,Vacant
10,2,3 Bed,3,1300,Vacant
11,2,3 Bed,3,1300,Vacant
12,2,3 Bed,3,1300,Vacant
13,3,Studio,0,500,Vacant
14,3,2 Bed,2,1000,Vacant
15,3,2 Bed,2,1000,Vacant
16,3,3 Bed,3,1300,Vacant
17,3,3 Bed,3,1300,Vacant
18,3,3 Bed,3,1300,Vacant
19,4,Studio,0,500,Vacant
20,4,2 Bed,2,1000,Vacant
21,4,2 Bed,2,1000,Vacant
22,4,3 Bed,3,1300,Vacant
23,4,3 Bed,3,1300,Vacant
24,4,3 Bed,3,1300,Vacant
25,5,Studio,0,500,Vacant
26,5,2 Bed,2,1000,Vacant
27,5,2 Bed,2,1000,Vacant
28,5,3 Bed,3,1300,Vacant
29,5,3 Bed,3,1300,Vacant
30,5,3 Bed,3,1300,Vacant
31,6,Studio,0,500,Vacant
32,6,2 Bed,2,1000,Vacant
33,6,2 Bed,2,1000,Vacant
34,6,3 Bed,3,1300,Vacant
35,6,3 Bed,3,1300,Vacant
36,6,3 Bed,3,1300,Vacant
37,7,Studio,0,500,Vacant
38,7,2 Bed,2,1000,Vacant
39,7,2 Bed,2,1000,Vacant
40,7,3 Bed,3,1300,Vacant
41,7,3 Bed,3,1300,Vacant
42,7,3 Bed,3,1300,Vacant
43,8,Studio,0,500,Vacant
44,8,2 Bed,2,1000,Vacant
45,8,2 Bed,2,1000,Vacant
46,8,4 Bed,3,1300,Vacant
47,8,4 Bed,3,1300,Vacant
48,8,4 Bed,3,1300,Vacant
49,9,Studio,0,500,Vacant
50,9,2 Bed,2,1000,Vacant
51,9,2 Bed,2,1000,Vacant
52,9,3 Bed,3,1300,Vacant
53,9,3 Bed,3,1300,Vacant
54,9,3 Bed,3,1300,Vacant
55,10,Studio,0,500,Vacant
56,10,2 Bed,2,1000,Vacant
57,10,2 Bed,2,1000,Vacant
58,10,3 Bed,3,1300,Vacant
59,10,3 Bed,3,1300,Vacant
60,10,3 Bed,3,1300,Vacant
61,11,Studio,0,500,Vacant
62,11,3 Bed,2,1000,Vacant
63,11,3 Bed,2,1000,Vacant
64,11,4 Bed,3,1300,Vacant
65,11,4 Bed,3,1300,Vacant
66,11,4 Bed,3,1300,Vacant
